EHTOKOODI;EHTO;EHTOR
E204;Hoidon tulee aloittaa ja sitä jatkaa lääkäri, joka on perehtynyt verensiirroista johtuvan raudan liikavarastoitumisen hoitoon.;Behandling bör sättas in och handhas av läkare med erfarenhet av behandling av kroniskt ökad järninlagring orsakad av blodtransfusioner.
E391;Valmistetta saavat määrätä lääkärit, joilla on kokemusta neurologisista sairauksista kärsivien pediatristen potilaiden hoidosta.;Preparatet ska ordineras av läkare med erfarenhet av behandling av pediatriska patienter med neurologiska störningar.
E475;Hoidon aloittavalla ja sitä seuraavalla lääkärillä pitää olla pätevyys ja kokemusta pediatristen potilaiden kasvuhormonin vajauksen diagnosoinnista ja hoidosta.;Behandlingen ska initieras och monitoreras av läkare med kompetens och erfarenhet av diagnostik och behandling av pediatriska patienter med brist på tillväxthormon (GH brist).
E474;Asianmukaisen koulutuksen saaneiden terveydenhuollon ammattilaisten on suoritettava flusikloviini-(18F)-PET-kuvaus.;En PET-undersökning med fluciklovin (18F) ska utföras av hälso- och sjukvårdspersonal med lämplig utbildning.
E486;SLE-nefriitin diagnosointiin ja hoitoon perehtyneen lääkärin on aloitettava hoito ja valvottava sen toteuttamista.;Behandling ska initieras och övervakas av en läkare med erfarenhet av att behandla SLE-nefrit.
E334;Ravulitsumabia saa antaa vain terveydenhuollon ammattilainen veri-, munuais- tai neuromuskulaaristen tautien hoitoon perehtyneen lääkärin valvonnassa.;Ravulizumab måste administreras av hälso- och sjukvårdspersonal och under överinseende av en läkare med erfarenhet av att behandla patienter med hematologiska sjukdomar, njursjukdomar eller neuromuskulära sjukdomar.
E69;Hoito tulee aloittaa MS-taudin hoitoon perehtyneen lääkärin valvonnassa.;Behandlingen bör initieras under kontroll av läkare med erfarenhet av behandling av MS.
E15;Vain neurologian erikoislääkäreiden määräyksellä ja heidän aloittamaansa jatkohoitoon.;Endast mot recept utfärdade av specialister i neurologi och i av dem påbörjad eftervård.
E466;Lääkehoidon aloittaa:  - lapsille ja nuorille lasten- tai nuorisopsykiatri, lastenlääkäri tai -neurologi tai muu lasten tai nuorten psyykkiseen ja fyysiseen kehitykseen ja ADHD:n hoitoon perehtynyt lääkäri, ja kun ei-lääkkeelliset hoitomuodot yksinään eivät ole riittäviä.  - aikuisille psykiatrian tai neurologian alojen erikoislääkäri, ja kun ei-lääkkeelliset hoitomuodot yksinään eivät ole riittäviä. Jatkohoito voidaan vakiintuneessa vaiheessa toteuttaa niin, että määräävä lääkäri konsultoi tarvittaessa ADHD:n hoitoon perehtynyttä lääkäriä.;Läkemedelsbehandlingen inleds:  - hos barn och unga av en barn- eller ungdomspsykiater, en barnläkare eller -neurolog eller en annan läkare som är insatt i barns och ungas psykiska och fysiska utveckling och ADHD-behandling och när enbart icke-medicinska behandlingsformer inte är tillräckliga. - hos vuxna av en specialistläkare inom psykiatri eller neurologi och när enbart icke-medicinska behandlingsformer inte är tillräckliga. Den fortsatta behandlingen kan i ett etablerat skede genomföras så att den förskrivande läkaren vid behov konsulterar en läkare som är insatt i behandlingen av ADHD.
E476;Valmisteen saa antaa kokenut terveydenhuollon ammattilainen hoitopaikassa, jossa on elvytysvälineistö saatavissa.;Preparatet ska administreras av en erfaren hälso- och sjukvårdspersonal i en miljö där utrustning för återupplivning är tillgänglig.
E477;Valmisteen saa antaa kokenut terveydenhuollon ammattilainen ja ensimmäinen annos tulee antaa hoitopaikassa, jossa on elvytysvälineistö saatavissa.;Preparatet ska administreras av en erfaren hälso- och sjukvårdspersonal, och den första dosen ska administreras i en miljö där utrustning för återupplivning är tillgänglig.
E478;Hoito on toteutettava perinnöllisten aineenvaihduntahäiriöiden hoitoon perehtyneen terveydenhuollon ammattilaisen valvonnassa.;Behandling ska övervakas av sjukvårdspersonal med erfarenhet av ärftliga metabola sjukdomar.
E479;Hoito on annettava keskuksessa, joka on erikoistunut stereotaktiseen neurokirurgiaan, perehtyneen neurokirurgin toimesta kontrolloiduissa aseptisissa olosuhteissa.;Behandlingen ska ges på en klinik som är specialiserad på stereotaktisk neurokirurgi, av en kvalificerad neurokirurg under kontrollerade aseptiska förhållanden.
E461;Hoitoa saa antaa vain MS-taudin hoitoon perehtyneen lääkärin määräyksestä ja valvonnassa.;Vid behandling ska förskrivning och övervakning ske av läkare med erfarenhet av att behandla MS.
E480;Valmisteen käyttö tulee rajoittaa ainoastaan hoitolaitoksessa annettavaan hemodialyysihoitoon. Se on tarkoitettu sellaisten terveydenhuollon ammattilaisten käyttöön, joilla on kokemusta difelikefaliinilla hoidettavien tilojen diagnosoinnista ja hoidosta.;Användning av produkt ska endast ske på klinik som genomför hemodialys. Det är avsett att användas av sjukvårdspersonal med erfarenhet av diagnos och behandling av tillstånd för vilka difelikefalin är indicerat.
E481;Hoito on aloitettava sellaisen lääkärin valvonnassa, jolla on kokemusta NMOSD-hoidosta ja jonka saatavilla on asianmukainen lääketieteellinen tuki mahdollisten vakavien haittavaikutusten, kuten vakavien infuusioon liittyvien reaktioiden, hoitamiseen;Behandlingen ska initieras under överinseende av en läkare med erfarenhet av behandling av neuromyelitis optica spektrumtillstånd (NMOSD) och med tillgång till lämpligt medicinskt stöd för att hantera potentiella allvarliga reaktioner såsom allvarliga infusionsrelaterade reaktioner.
E482;Hoito on aloitettava sellaisen lääkärin valvonnassa, jolla on kokemusta hemofilian ja/tai verenvuotosairauksien hoitamisesta. Tätä lääkevalmistetta on annettava ympäristössä, jossa on välittömästi saatavilla henkilöstöä ja laitteistoa infuusioon liittyvien reaktioiden hoitoa varten.;Behandling ska initieras under överinseende av läkare med erfarenhet av behandling av hemofili och/eller blödningssjukdomar. Läkemedlet ska administreras i en miljö där personal och utrustning omedelbart finns tillgängliga för att behandla infusionsrelaterade reaktioner.
E483;Hoidon saa aloittaa vain anemian hoitoon perehtynyt lääkäri.;Behandlingen skall initieras av läkare med erfarenhet av behandling av anemi.
E484;Hoidon aloittaa ja sitä seuraa erikoislääkäri, jolla on kokemusta sydämen rytmihäiriöiden hoitamisesta.;Behandling ska initieras och övervakas av specialist med erfarenhet från behandling av hjärtarytmier.
